id_pemesanan,pemesanan_kamar,uang_muka,status_uang_muka,bukti_transfer,tenggat_uang_muka,mulai_menempati_kos,batas_menempati_kos,status,id_penyewa,idKamar
1,2023-01-11,375000,Sudah Bayar,,2023-01-14,2023-01-04,2023-06-04,Dikonfirmasi,1,57
2,2023-01-21,375000,Sudah Bayar,,2023-01-24,2023-01-20,2023-04-20,Dikonfirmasi,2,48
3,2023-01-27,375000,Sudah Bayar,,2023-01-30,2023-01-31,2023-02-28,Dikonfirmasi,3,5
4,2023-01-25,350000,Sudah Bayar,,2023-01-28,2023-01-07,2023-06-07,Dikonfirmasi,4,16
5,2023-01-09,375000,Sudah Bayar,,2023-01-12,2023-01-08,2023-06-08,Dikonfirmasi,5,15
6,2023-01-31,375000,Sudah Bayar,,2023-02-03,2023-01-05,2023-04-05,Dikonfirmasi,6,96
7,2023-01-13,350000,Sudah Bayar,,2023-01-16,2023-01-30,2023-06-30,Dikonfirmasi,7,51
8,2023-01-20,350000,Sudah Bayar,,2023-01-23,2023-01-12,2023-06-12,Dikonfirmasi,8,28
9,2023-01-18,375000,Sudah Bayar,,2023-01-21,2023-01-25,2023-06-25,Dikonfirmasi,9,75
10,2023-01-26,300000,Sudah Bayar,,2023-01-29,2023-01-01,2023-04-01,Dikonfirmasi,10,82
11,2023-01-10,375000,Sudah Bayar,,2023-01-13,2023-01-07,2023-04-07,Dikonfirmasi,11,80
12,2023-01-08,350000,Sudah Bayar,,2023-01-11,2023-01-05,2023-06-05,Dikonfirmasi,12,56
13,2023-01-07,300000,Sudah Bayar,,2023-01-10,2023-01-03,2023-06-03,Dikonfirmasi,13,42
14,2023-01-05,350000,Sudah Bayar,,2023-01-08,2023-01-05,2023-02-05,Dikonfirmasi,14,60
15,2023-01-27,375000,Sudah Bayar,,2023-01-30,2023-01-03,2023-06-03,Dikonfirmasi,15,98
16,2023-01-13,375000,Sudah Bayar,,2023-01-16,2023-01-11,2023-02-11,Dikonfirmasi,16,5
17,2023-01-24,300000,Sudah Bayar,,2023-01-27,2023-01-17,2023-02-17,Dikonfirmasi,17,8
18,2023-01-06,350000,Sudah Bayar,,2023-01-09,2023-01-12,2023-04-12,Dikonfirmasi,18,91
19,2023-01-29,350000,Sudah Bayar,,2023-02-01,2023-01-12,2023-06-12,Dikonfirmasi,19,58
20,2023-01-03,300000,Sudah Bayar,,2023-01-06,2023-01-08,2023-02-08,Dikonfirmasi,20,87
21,2023-01-25,375000,Sudah Bayar,,2023-01-28,2023-01-21,2023-06-21,Dikonfirmasi,21,86
22,2023-01-14,300000,Sudah Bayar,,2023-01-17,2023-01-03,2023-02-03,Dikonfirmasi,22,75
23,2023-01-18,300000,Sudah Bayar,,2023-01-21,2023-01-31,2023-06-30,Dikonfirmasi,23,8
24,2023-01-08,350000,Sudah Bayar,,2023-01-11,2023-01-25,2023-02-25,Dikonfirmasi,24,48
25,2023-01-04,350000,Sudah Bayar,,2023-01-07,2023-01-08,2023-06-08,Dikonfirmasi,25,59
26,2023-02-08,375000,Sudah Bayar,,2023-02-11,2023-02-11,2023-05-11,Dikonfirmasi,26,85
27,2023-02-27,300000,Sudah Bayar,,2023-03-02,2023-02-13,2023-07-13,Dikonfirmasi,27,65
28,2023-02-06,375000,Sudah Bayar,,2023-02-09,2023-02-25,2023-05-25,Dikonfirmasi,28,82
29,2023-02-13,350000,Sudah Bayar,,2023-02-16,2023-02-22,2023-07-22,Dikonfirmasi,29,106
30,2023-02-18,350000,Sudah Bayar,,2023-02-21,2023-02-03,2023-03-03,Dikonfirmasi,30,95
31,2023-02-17,350000,Sudah Bayar,,2023-02-20,2023-02-19,2023-07-19,Dikonfirmasi,31,28
32,2023-02-18,300000,Sudah Bayar,,2023-02-21,2023-02-11,2023-05-11,Dikonfirmasi,32,35
33,2023-02-25,350000,Sudah Bayar,,2023-02-28,2023-02-15,2023-03-15,Dikonfirmasi,33,43
34,2023-02-19,350000,Sudah Bayar,,2023-02-22,2023-02-23,2023-07-23,Dikonfirmasi,34,19
35,2023-02-04,375000,Sudah Bayar,,2023-02-07,2023-02-02,2023-05-02,Dikonfirmasi,35,73
36,2023-02-07,350000,Sudah Bayar,,2023-02-10,2023-02-01,2023-03-01,Dikonfirmasi,36,34
37,2023-02-04,300000,Sudah Bayar,,2023-02-07,2023-02-19,2023-03-19,Dikonfirmasi,37,73
38,2023-02-10,375000,Sudah Bayar,,2023-02-13,2023-02-28,2023-03-28,Dikonfirmasi,38,50
39,2023-02-03,375000,Sudah Bayar,,2023-02-06,2023-02-28,2023-03-28,Dikonfirmasi,39,43
40,2023-02-01,375000,Sudah Bayar,,2023-02-04,2023-02-04,2023-05-04,Dikonfirmasi,40,34
41,2023-02-24,350000,Sudah Bayar,,2023-02-27,2023-02-20,2023-07-20,Dikonfirmasi,41,44
42,2023-02-20,375000,Sudah Bayar,,2023-02-23,2023-02-01,2023-05-01,Dikonfirmasi,42,60
43,2023-02-01,375000,Sudah Bayar,,2023-02-04,2023-02-14,2023-03-14,Dikonfirmasi,43,91
44,2023-02-23,300000,Sudah Bayar,,2023-02-26,2023-02-21,2023-03-21,Dikonfirmasi,44,31
45,2023-02-28,300000,Sudah Bayar,,2023-03-03,2023-02-12,2023-03-12,Dikonfirmasi,45,1
46,2023-02-28,350000,Sudah Bayar,,2023-03-03,2023-02-25,2023-05-25,Dikonfirmasi,46,7
47,2023-03-25,375000,Sudah Bayar,,2023-03-28,2023-03-17,2023-08-17,Dikonfirmasi,47,70
48,2023-03-27,300000,Sudah Bayar,,2023-03-30,2023-03-06,2023-08-06,Dikonfirmasi,48,17
49,2023-03-30,300000,Sudah Bayar,,2023-04-02,2023-03-02,2023-08-02,Dikonfirmasi,49,13
50,2023-03-28,350000,Sudah Bayar,,2023-03-31,2023-03-25,2023-08-25,Dikonfirmasi,50,101
51,2023-03-19,300000,Sudah Bayar,,2023-03-22,2023-03-29,2023-08-29,Dikonfirmasi,51,62
52,2023-03-29,350000,Sudah Bayar,,2023-04-01,2023-03-14,2023-08-14,Dikonfirmasi,52,72
53,2023-03-05,350000,Sudah Bayar,,2023-03-08,2023-03-09,2023-06-09,Dikonfirmasi,53,77
54,2023-03-23,300000,Sudah Bayar,,2023-03-26,2023-03-31,2023-06-30,Dikonfirmasi,54,106
55,2023-04-03,300000,Sudah Bayar,,2023-04-06,2023-04-11,2023-05-11,Dikonfirmasi,55,44
56,2023-04-20,350000,Sudah Bayar,,2023-04-23,2023-04-30,2023-05-30,Dikonfirmasi,56,61
57,2023-04-10,375000,Sudah Bayar,,2023-04-13,2023-04-18,2023-07-18,Dikonfirmasi,57,47
58,2023-04-27,375000,Sudah Bayar,,2023-04-30,2023-04-03,2023-07-03,Dikonfirmasi,58,37
59,2023-04-06,300000,Sudah Bayar,,2023-04-09,2023-04-11,2023-07-11,Dikonfirmasi,59,92
60,2023-04-26,350000,Sudah Bayar,,2023-04-29,2023-04-04,2023-09-04,Dikonfirmasi,60,92
61,2023-04-28,375000,Sudah Bayar,,2023-05-01,2023-04-27,2023-05-27,Dikonfirmasi,61,79
62,2023-04-04,350000,Sudah Bayar,,2023-04-07,2023-04-09,2023-07-09,Dikonfirmasi,62,102
63,2023-04-23,300000,Sudah Bayar,,2023-04-26,2023-04-06,2023-05-06,Dikonfirmasi,63,22
64,2023-04-13,375000,Sudah Bayar,,2023-04-16,2023-04-22,2023-07-22,Dikonfirmasi,64,5
65,2023-04-10,350000,Sudah Bayar,,2023-04-13,2023-04-29,2023-05-29,Dikonfirmasi,65,79
66,2023-04-12,300000,Sudah Bayar,,2023-04-15,2023-04-02,2023-05-02,Dikonfirmasi,66,97
67,2023-04-08,375000,Sudah Bayar,,2023-04-11,2023-04-26,2023-07-26,Dikonfirmasi,67,14
68,2023-04-07,350000,Sudah Bayar,,2023-04-10,2023-04-22,2023-05-22,Dikonfirmasi,68,62
69,2023-04-13,350000,Sudah Bayar,,2023-04-16,2023-04-11,2023-09-11,Dikonfirmasi,69,4
70,2023-04-01,350000,Sudah Bayar,,2023-04-04,2023-04-24,2023-07-24,Dikonfirmasi,70,68
71,2023-04-29,300000,Sudah Bayar,,2023-05-02,2023-04-21,2023-05-21,Dikonfirmasi,71,66
72,2023-04-05,375000,Sudah Bayar,,2023-04-08,2023-04-05,2023-05-05,Dikonfirmasi,72,18
73,2023-04-24,300000,Sudah Bayar,,2023-04-27,2023-04-08,2023-05-08,Dikonfirmasi,73,94
74,2023-04-16,350000,Sudah Bayar,,2023-04-19,2023-04-12,2023-09-12,Dikonfirmasi,74,2
75,2023-04-08,350000,Sudah Bayar,,2023-04-11,2023-04-22,2023-07-22,Dikonfirmasi,75,92
76,2023-05-26,300000,Sudah Bayar,,2023-05-29,2023-05-21,2023-10-21,Dikonfirmasi,76,63
77,2023-05-01,375000,Sudah Bayar,,2023-05-04,2023-05-14,2023-08-14,Dikonfirmasi,77,1
78,2023-05-19,375000,Sudah Bayar,,2023-05-22,2023-05-15,2023-10-15,Dikonfirmasi,78,77
79,2023-05-05,350000,Sudah Bayar,,2023-05-08,2023-05-02,2023-08-02,Dikonfirmasi,79,83
80,2023-05-03,350000,Sudah Bayar,,2023-05-06,2023-05-20,2023-10-20,Dikonfirmasi,80,48
81,2023-05-01,375000,Sudah Bayar,,2023-05-04,2023-05-15,2023-10-15,Dikonfirmasi,81,95
82,2023-05-10,375000,Sudah Bayar,,2023-05-13,2023-05-19,2023-06-19,Dikonfirmasi,82,27
83,2023-05-24,375000,Sudah Bayar,,2023-05-27,2023-05-13,2023-08-13,Dikonfirmasi,83,51
84,2023-06-15,350000,Sudah Bayar,,2023-06-18,2023-06-06,2023-11-06,Dikonfirmasi,84,87
85,2023-06-09,300000,Sudah Bayar,,2023-06-12,2023-06-24,2023-07-24,Dikonfirmasi,85,13
86,2023-06-19,350000,Sudah Bayar,,2023-06-22,2023-06-10,2023-07-10,Dikonfirmasi,86,71
87,2023-06-04,350000,Sudah Bayar,,2023-06-07,2023-06-24,2023-11-24,Dikonfirmasi,87,34
88,2023-06-14,375000,Sudah Bayar,,2023-06-17,2023-06-29,2023-11-29,Dikonfirmasi,88,85
89,2023-06-27,300000,Sudah Bayar,,2023-06-30,2023-06-13,2023-11-13,Dikonfirmasi,89,40
90,2023-06-21,375000,Sudah Bayar,,2023-06-24,2023-06-27,2023-09-27,Dikonfirmasi,90,69
91,2023-06-18,300000,Sudah Bayar,,2023-06-21,2023-06-19,2023-09-19,Dikonfirmasi,91,65
92,2023-06-30,375000,Sudah Bayar,,2023-07-03,2023-06-14,2023-09-14,Dikonfirmasi,92,32
93,2023-06-26,375000,Sudah Bayar,,2023-06-29,2023-06-27,2023-09-27,Dikonfirmasi,93,89
94,2023-06-25,300000,Sudah Bayar,,2023-06-28,2023-06-03,2023-11-03,Dikonfirmasi,94,15
95,2023-06-03,350000,Sudah Bayar,,2023-06-06,2023-06-15,2023-11-15,Dikonfirmasi,95,84
96,2023-06-26,350000,Sudah Bayar,,2023-06-29,2023-06-05,2023-07-05,Dikonfirmasi,96,41
97,2023-06-28,300000,Sudah Bayar,,2023-07-01,2023-06-03,2023-11-03,Dikonfirmasi,97,34
98,2023-06-14,375000,Sudah Bayar,,2023-06-17,2023-06-21,2023-09-21,Dikonfirmasi,98,105
99,2023-06-07,375000,Sudah Bayar,,2023-06-10,2023-06-30,2023-09-30,Dikonfirmasi,99,65
100,2023-06-04,375000,Sudah Bayar,,2023-06-07,2023-06-14,2023-07-14,Dikonfirmasi,100,88
101,2023-06-18,350000,Sudah Bayar,,2023-06-21,2023-06-06,2023-07-06,Dikonfirmasi,101,21
102,2023-06-24,300000,Sudah Bayar,,2023-06-27,2023-06-16,2023-09-16,Dikonfirmasi,102,46
103,2023-06-18,350000,Sudah Bayar,,2023-06-21,2023-06-09,2023-07-09,Dikonfirmasi,103,8
104,2023-06-19,375000,Sudah Bayar,,2023-06-22,2023-06-18,2023-09-18,Dikonfirmasi,104,82
105,2023-06-18,350000,Sudah Bayar,,2023-06-21,2023-06-09,2023-07-09,Dikonfirmasi,105,68
106,2023-06-23,300000,Sudah Bayar,,2023-06-26,2023-06-08,2023-11-08,Dikonfirmasi,106,21
107,2023-06-09,350000,Sudah Bayar,,2023-06-12,2023-06-30,2023-07-30,Dikonfirmasi,107,88
108,2023-06-05,350000,Sudah Bayar,,2023-06-08,2023-06-17,2023-07-17,Dikonfirmasi,108,23
109,2023-06-04,350000,Sudah Bayar,,2023-06-07,2023-06-22,2023-11-22,Dikonfirmasi,109,90
110,2023-06-11,300000,Sudah Bayar,,2023-06-14,2023-06-08,2023-07-08,Dikonfirmasi,110,2
111,2023-06-26,300000,Sudah Bayar,,2023-06-29,2023-06-04,2023-11-04,Dikonfirmasi,111,4
112,2023-06-09,350000,Sudah Bayar,,2023-06-12,2023-06-11,2023-11-11,Dikonfirmasi,112,88
113,2023-06-11,350000,Sudah Bayar,,2023-06-14,2023-06-05,2023-11-05,Dikonfirmasi,113,23
114,2023-07-28,300000,Sudah Bayar,,2023-07-31,2023-07-22,2023-10-22,Dikonfirmasi,114,77
115,2023-07-11,350000,Sudah Bayar,,2023-07-14,2023-07-24,2023-12-24,Dikonfirmasi,115,41
116,2023-07-17,300000,Sudah Bayar,,2023-07-20,2023-07-12,2023-10-12,Dikonfirmasi,116,77
117,2023-07-31,350000,Sudah Bayar,,2023-08-03,2023-07-24,2023-08-24,Dikonfirmasi,117,39
118,2023-07-07,300000,Sudah Bayar,,2023-07-10,2023-07-05,2023-08-05,Dikonfirmasi,118,8
119,2023-08-10,350000,Sudah Bayar,,2023-08-13,2023-08-19,2024-01-19,Dikonfirmasi,119,26
120,2023-08-20,375000,Sudah Bayar,,2023-08-23,2023-08-06,2024-01-06,Dikonfirmasi,120,67
121,2023-08-28,300000,Sudah Bayar,,2023-08-31,2023-08-20,2023-11-20,Dikonfirmasi,121,99
122,2023-08-27,300000,Sudah Bayar,,2023-08-30,2023-08-07,2023-09-07,Dikonfirmasi,122,58
123,2023-08-01,300000,Sudah Bayar,,2023-08-04,2023-08-01,2023-09-01,Dikonfirmasi,123,51
124,2023-08-15,375000,Sudah Bayar,,2023-08-18,2023-08-26,2023-09-26,Dikonfirmasi,124,104
125,2023-08-28,375000,Sudah Bayar,,2023-08-31,2023-08-22,2024-01-22,Dikonfirmasi,125,82
126,2023-08-18,375000,Sudah Bayar,,2023-08-21,2023-08-05,2023-11-05,Dikonfirmasi,126,69
127,2023-08-11,300000,Sudah Bayar,,2023-08-14,2023-08-25,2024-01-25,Dikonfirmasi,127,62
128,2023-08-27,375000,Sudah Bayar,,2023-08-30,2023-08-06,2023-09-06,Dikonfirmasi,128,36
129,2023-08-17,300000,Sudah Bayar,,2023-08-20,2023-08-10,2023-09-10,Dikonfirmasi,129,39
